,asignatura,clave
6000,Abastecimientos,II3473
2011,Actividades náuticas y turismo deportivo,TS3430
122,Acuerdos y organismos reguladores del comercio internacional,NI0319
33,Administración contemporánea en la industria gastronómica,GA0111
6295,Administración de alimentos y bebidas,TS3435
147,Administración de centros de consumo de alimentos y bebidas,GA3436
6458,Administración de cocinas,GA3431
121,Administración de empresas exportadoras,NI3426
339,Administración de flotas y terminales,IL0207
3059,Administración de negocios electrónicos,NI3430
177,Administración de proyectos,IE3437
7038,Administración de proyectos de desarrollo de software,IT0423
1508,Administración de recursos humanos,NI3468
6396,Administración de recursos humanos,GA0208
6256,Administración de redes y servicios,IT3440
3744,Administración de servicios turísticos ,TS0218
236,Administración de servicios turísticos y hoteleros,TS0105
3,Administración financiera,NI0209
248,Administración moderna,NI0106
173,Administración y comercialización de bienes raíces,IE3474
5574,Administración y operación de comedores industriales,GA3494
240,Agencias de viaje y transportación,TS0209
1158,Aire acondicionado y refrigeración,II3474
6282,Algoritmo y estructura de datos,II0321
464,Algoritmos y estructura de datos,IT0101
447,"Alianzas, franquicias y concesiones",NI0266
6401,"Alianzas, franquicias y concesiones",GA3475
6461,Alta cocina internacional,GA3481
6404,Alta pastelería,GA3482
370,Analítica para la inteligencia de negocios,ID3420
4101,Análisis de casos de éxito y fracaso empresarial,IE3471
7399,Análisis de casos en negocios electrónicos,NI3434
159,Análisis de casos en negocios internacionales,NI3473
6151,Análisis de casos hoteleros,TS3479
341,Análisis de grandes volúmenes de datos,ID0308
199,Análisis del consumidor,IE3468
3769,Análisis del desarrollo regional,NI3479
146,Análisis financiero,GA0323
376,Análisis sistemático de la producción y distribución de bienes y servicios,IL0203
165,Aplicaciones del sistema de apertura rápida de empresas,IE3432
1071,Apreciación cinematográfica,TA0006
4266,Apreciación e historia del arte,TA0034
345,Aprendizaje estadístico,ID0309
2425,Arquitectura de computadoras,IT0316
7079,Arquitectura de objetos distribuidos,IT0424
1239,Bailes caribeños,TA0010
2410,Base de datos distribuidas,IT0262
35,Bases culinarias,GA0106
462,Bases de Datos,ID0204
196,Basquetbol,AD0003
9211,Bioclimatismo,IA3420
161,Bioenergéticos,IA3430
1551,Bioremediación,IA3424
490,Cadenas y franquicias en los servicios turísticos,TS0165
8885,Calidad del agua,IA0412
6250,Calidad del aire,II3433
8963,Calidad del aire,IA0414
2882,Calidad en los servicios turísticos,TS0423
23,Canales de distribución y logística,IE0217
210,Canto,TA0031
2030,Características y tendencias de la actividad turística,TS3426
93,"Carnes, aves, pescados y mariscos",GA0166
96,Ciencia de los alimentos,GA0105
2523,Circuitos turísticos,TS0318
218,Cocina de la cuenca del Caribe,GA3478
6453,Cocina de vanguardia,GA3485
6421,Cocina española,GA3474
6413,Cocina francesa,GA3472
104,"Cocina fría, charcuterie y garde-manger",GA3480
6419,Cocina italiana,GA3473
3608,Cocina mediterránea,GA3435
4513,Cocina oriental,GA3486
149,Cocina peninsular,GA0165
144,Cocina regional mexicana,GA0223
4510,Cocina sudamericana,GA3490
2991,Cocina árabe,GA3489
2447,Comercio electrónico,IL3466
11,Comercio internacional,NI0211
5,Comercio internacional de México,NI0214
12206,Comunicaciones digitales,IT3438
1535,Consultoría en competitividad y calidad empresarial,IE3421
139,Contabilidad administrativa,GA3468
37,Contabilidad básica,GA0104
198,Contabilidad básica,NI0102
314,Contabilidad básica,TS0211
383,Contabilidad financiera,II0217
280,Contabilidad financiera y costos,TS0317
560,Contabilidad y costos para ingeniería,ID0262
290,Control de calidad ,IL0313
7692,Control de emisiones,IA3422
9638,Control y principios de automatización,IA3417
2955,Coro,TA0008
254,Costos,NI0163
230,Costos de alimentos y bebidas,GA0221
193,Costos y fijación de precios,IE0106
850,Creatividad y emprendimiento,IE0162
9039,Crítica gastronómica,GA3492
2024,Cultura regional,TS0207
6313,Cultura y desarrollo turístico del Caribe,TS3475
252,Cálculo diferencial,NI0103
203,Cálculo diferencial,II0106
1324,Cálculo integral,II0209
1163,Cálculo vectorial,II0218
244,Cómputo de alto desempeño,ID0411
1013,Cómputo ubicuo,ID3415
4512,Decoración con alimentos,GA3487
117,Derecho aduanero,NI0212
255,Derecho civil y mercantil,NI0104
3540,Derechos humanos,NI0160
38,Desarrollo de habilidades del pensamiento,DP0194
5154,Desarrollo de habilidades gerenciales,IL3421
20,Desarrollo e innovación empresarial,IE0209
238,Desarrollo y turismo sustentable,TS0103
673,Dibujo y pintura,TA0017
6934,Dietología,GA3471
34815,Dirección de empresas,II3437
4664,Dirección estratégica de hoteles,TS3437
1164,Diseño asistido por computadora,II0108
1156,Diseño de experimentos,IL0308
2483,Diseño de interfaces humano-máquina,IT0317
242,Diseño de juegos,ID3417
572,Diseño de patrones para datos estructurados,ID0101
1170,Diseño de procesos industriales,II3479
454,Diseño de productos y servicios innovadores,IE0213
2428,Diseño de sistemas operativos,IT0318
5902,Diseño integral de planes de negocios,IE3431
231,Diseño multimedia,ID3416
25,Diseño organizacional,IE0318
124,Diseño y comercialización de productos de exportación,NI3438
6288,Diseño y decoración de hoteles,TS3482
5158,Distribución estratégica,II3440
9289,Ecología,IA0106
188,Economía,IE0107
457,Economía de Empresa,IE0216
2429,Economía de las telecomunicaciones,IT3469
712,Economía gastronómica,GA3493
3075,Economía internacional,NI3477
6165,Economía para la logística y cadena de suministro,IL0312
2026,Economía turística,TS0316
2012,Ecoturismo,TS3432
421,Ecuaciones diferenciales,II0320
36507,Eficiencia energética,IA3426
5913,Elaboración y evaluación de proyectos a incubar,IE0421
5952,Elaboración y evaluación de proyectos de financiamiento e inversión,NI0424
1331,Electricidad y magnetismo,II0215
2408,Electrónica analógica,IT0263
423,Electrónica digital,IT0208
6036,Electrónica industrial ,II3483
175,"Elementos de negociación con proveedores, clientes, intermediarios y unidades de financiamiento",IE3433
1557,Encuadernación,TA0020
16341,Energía del agua,IA3429
28219,Energía eólica,IA3428
8887,Energía solar,IA3427
19,Entorno legal de las MiPyMES,IE0212
1485,Entorno legal de los negocios internacionales,NI0316
807,Entrenamiento auditivo musical,TA0030
189,Envase y embalaje,NI0162
4745,Ergonomía,II3486
976,Escritura creativa,TA0023
1159,Estadística analítica,IL0204
192,Estadística aplicada a las empresas,IE0105
256,Estadística y probabilidad aplicada a los negocios,NI0107
6425,Estancia,PG0404
5915,Estrategia financiera,II3436
5938,Estrategias de comercialización internacional,NI3436
6128,Estrategias de comunicación comercial y management con relaciones al cliente,IE3423
730,Estrategía Financiera,IE0323
1981,Estructura y propiedades de los materiales,II0210
1974,Evaluación de tecnologías e impacto ambiental,II3429
22,Finanzas,IE0215
5929,Finanzas,II3485
8014,Finanzas,IE0210
4528,Finanzas internacionales,NI0422
4663,Finanzas y auditoría para hoteles,TS3438
746,Formación y administración de equipos de trabajo,IE3428
5983,Formulación y desarrollo de los proyectos en los negocios electrónicos,NI3433
725,Formulación y desarrollo de planes estratégicos,IE3425
7626,Formulación y desarrollo de sistemas de gestión de calidad empresarial,IE3435
174,Formulación y desarrollo del plan de marketing,NI3439
6075,Formulación y evaluación de proyectos de exportación,NI3429
25045,Formulación y evaluación de proyectos de negocios innovadores,IE0319
170,Formulación y evaluación de proyectos de negocios innovadores,IE0424
6098,Formulación y evaluación de proyectos en logística y cadena de suministro,IL3468
1258,Fotografía,TA0005
743,Fuentes de financiamiento para MiPyMES,IE0317
856,Fundamentos de Administración,IE0109
2438,Fundamentos de comunicaciones,IT0209
268,Fundamentos de ecología,TS0162
243,Fundamentos de economía,TS0216
3627,Futbol Americano,AD0017
522,Física clásica,ID0102
285,Física experimental,II0102
621,Fútbol,AD0001
5957,Geografía económica,NI3427
100,Geografía gastronómica de México,GA0110
6866,Geografía turística de México,TS3484
5040,Geografía turística de México,TS0107
9213,Geohidrología,IA3418
336,Geometría computacional,ID0205
1552,Gestión ambiental,IA0307
172,Gestión ambiental de la empresa,IE3475
169,Gestión de Talentos,IE0324
357,Gestión de compras y adquisiciones de almacén,GA0209
7010,Gestión de la productividad y competitividad en la industria gastronómica,GA3497
1973,Gestión de mantenimiento,II3488
6015,Gestión de operaciones,II3439
6406,Gestión de proyectos en la industria gastronómica,GA3438
171,Gestión de tecnologías de la información,IE0423
622,Gestión del conocimiento,ID3421
377,Gestión en el transporte internacional,IL0262
1168,Gestión estratégica,II3487
7661,Gestión fiscal empresarial,IE3479
30,Gestión laboral y de seguridad social en la empresa,IE3480
742,Gestión total de la calidad y servicio al cliente,IE3430
734,Gestión y continuidad de empresas familiares,IE3427
2042,Globalización en los negocios,NI3483
306,Gobierno de datos y redes sociales,ID3466
442,Guitarra,TA0002
891,Género en las organizaciones,IE0163
449,Hardware y software para MiPyMES,IE0160
238,Herramientas para la gestión de grandes volúmenes de datos,ID3468
3756,Historia de la gastronomía mexicana,GA0227
6317,Historia del arte,TS3481
317,Historia y arqueología mexicana,TS0166
6329,Hotelería regional,TS3478
10,Identidad y cultura,DP0396
6100,Industria del servicio,IL3416
11743,Industria turística y su entorno,IL3420
6856,Informática y sistemas aplicados a la hotelería,TS3434
6628,Ingeniería ambiental,TS3425
372,Ingeniería de costos,II0219
292,Ingeniería de métodos,II0212
7703,Ingeniería de procesos ambientales,IA0410
860,Ingeniería de software,ID0307
7084,Ingeniería de software orientada a objetos,IT0319
379,Ingeniería económica,IL0415
704,Ingeniería industrial y productividad,II0103
5852,Innovación disruptiva,ID0264
29,Innovación y nuevas tecnologías,IE0316
5165,Instalaciones industriales,II3427
48,Instalaciones y mantenimiento de equipos de cocina y restaurantes,GA0162
4552,Instrumentos de aliento,TA0022
2582,Instrumentos de cuerdas orquestales,TA0029
6709,Instrumentos de política ambiental,IA3415
5912,Integración y operación de cadenas productivas y empresas integradoras,IE3470
467,Interconectividad en redes,ID0206
866,Internet de las cosas,ID3469
9,Internet en los negocios internacionales,NI0265
341,Introducción a la dirección estratégica,IL0263
270,Introducción a la hotelería,TS0102
1365,Introducción a la ingeniería ambiental,IA0101
5225,Introducción a la ingeniería industrial,II0109
846,Introducción a la innovación empresarial,IE0101
5515,Introducción a la inteligencia artificial,IT0425
3162,Introducción a la logística en la industria del servicio,IL0264
815,Introducción a la logística y cadena de suministro,IL0101
414,Introducción a las base de datos,IT0160
515,Introducción a las redes,IT0103
6260,Introducción a las telecomunicaciones,IT3428
990,Introducción a los negocios internacionales,NI0101
373,Introducción a los sistemas de información,IT0264
34,Introducción al conocimiento gastronómico,GA0112
1082,Introducción al turismo,TS0101
166,Investigación de mercados,IE0422
5939,Investigación de mercados internacionales,NI3437
9282,Investigación de operaciones,TS0319
5935,Investigación de operaciones,NI3469
1979,Investigación de operaciones,II0318
6208,Investigación de operaciones estocásticas,IL0311
2995,Investigación gastronómica,GA0322
10222,Jarana Yucateca,TA0027
427,Karate,AD0015
6003,Laboratorio de circuitos eléctricos,II3428
1169,Laboratorio de instrumentación industrial,II0163
1160,Laboratorio de manufactura,II0214
5994,Laboratorio de manufactura integrado por computadora,II3426
9376,Laboratorio de redes,IT0265
25240,Laboratorio de telecomunicaciones,IT3439
2013,Legislación ambiental,TS0424
362,Legislación en la industria de alimentos y bebidas,GA0213
2029,Legislación turística,TS0320
154,Legislación y normativa ambiental,IA0206
822,Legislación y práctica aduanera,IL0161
13,Lengua Maya,TA0026
3170,Liderazgo y equipos de trabajo,IL3422
1165,Localizacion y distribución de plantas industriales y de servicios,II0266
6127,Logística comercial global,IL3419
6045,Logística de recuperación,IL3417
6358,Logística urbana,IL3418
15693,Logística y cadena de abastecimiento,IE0211
336,Logística y medio ambiente,IL0160
249,Macroeconomía,NI0108
6263,Manejo alternativo de energía,II3430
1280,Mantenimiento de instalaciones en hoteles y restaurantes,TS0268
3061,Marketing en los negocios electrónicos,NI3431
1084,Matemáticas aplicadas,TS0190
403,Matemáticas discretas,IT0104
97,Matemáticas financieras,GA0108
12,Matemáticas financieras para negocios,NI0216
5927,"Mecanización, automatización y principios de robótica",II0267
1157,Mecánica,II0211
4621,Mecánica de fluidos,II0213
472,Medio ambiente y comercio internacional,NI0161
295,Medio ambiente y desarrollo sustentable,II0104
5947,Medios de pago y financiamiento internacional,NI3428
1970,Mejora continua y mantenimiento,II0268
127,Mercadotecnia,NI0320
3158,Mercadotecnia,GA0319
395,Mercadotecnia de servicios,IE0265
168,Mercadotecnia estratégica,IE0325
2552,Mercadotecnia internacional,NI3435
755,Mercadotecnia no lucrativa,IE3478
445,Mercadotecnia para el emprendimiento,IE0208
728,Mercadotecnia turística,IE3476
245,Mercadotecnia turística,TS0421
1526,Merchandising para MIPyMES,IE0266
7282,Meteorología y climatología,IA3419
157,Metrología y normalización,II0164
384,Microbiología,IA0103
625,Microeconomía,NI0105
233,Minería de datos,ID0310
3172,Modelado de sistemas,IL0310
6557,Movilidad I,IE3401
25733,Movilidad I,IA3401
18238,Movilidad I,TS3401
17545,Movilidad I,GA3401
6102,Movilidad I,IL3401
12236,Movilidad I,IT3401
29776,Movilidad I,II3401
7307,Movilidad I,NI3401
12238,Movilidad II,IT3402
18237,Movilidad II,TS3402
25734,Movilidad II,IA3402
17546,Movilidad II,GA3402
29777,Movilidad II,II3402
6558,Movilidad II,IE3402
6103,Movilidad II,IL3402
7306,Movilidad II,NI3402
7308,Movilidad III,NI3403
6559,Movilidad III,IE3403
17544,Movilidad III,GA3403
6101,Movilidad III,IL3403
18239,Movilidad III,TS3403
12237,Movilidad III,IT3403
25735,Movilidad III,IA3403
29775,Movilidad III,II3403
4722,Movilidad IV,GA3404
11973,Movilidad IV,IE3404
27269,Movilidad IV,TS3404
6104,Movilidad IV,IL3404
10174,Movilidad IV,IA3404
3455,Movilidad IV,NI3404
276,Movilidad V,NI3405
4721,Movilidad V,GA3405
26969,Movilidad V,TS3405
278,Movilidad VI,NI3406
6071,Multiculturalidad en los negocios internacionales,NI3482
769,Multinacionales y bloques económicos,NI0317
5921,Máquinas de control numérico,II3480
8,Métodos cuantitativos aplicados a los negocios internacionales,NI0318
239,Métodos de desarrollo de software,ID0412
6199,Métodos numéricos por computadora,II0423
499,Natación,AD0016
28,Negociación y solución de conflictos,IE3434
1197,Negocios digitales,ID3422
49,Nivel 1 Inglés,LI1101
39,Nivel 2 Inglés,LI1102
16,Nivel 3 Inglés,LI1103
2,Nivel 4 Inglés,LI1104
2979,Normas internacionales de calidad,NI0421
2000,Nutrición,GA0214
1117,Nutrición y turismo de salud,TS0160
2018,"Nóminas, sueldos y prestaciones",TS0273
247,"Organización de congresos, grupos y convenciones",TS0214
6416,Organización de eventos y servicio de banquetes,GA3426
3107,Organización nacional e internacional del turismo,TS3439
293,Organización y administración de empresas,II0421
556,Organización y diseño de computadoras,ID0103
415,Organización y estructura de computadoras,IT0105
6414,Panadería,GA0425
416,Paradigmas de programación,IT0106
2520,Paradigmas del desarrollo sustentable,TS3476
241,Patrimonio de México,TS0215
554,Pensamiento crítico para ingeniería,ID0160
750,Pensamiento empresarial,IE3426
745,Pensamiento sistémico,IE3467
732,Planeación estratégica,NI0423
7866,Planeación estratégica para la industria gastronómica,GA3469
2518,Planeación estratégica para los servicios turísticos,TS0315
3175,Planeación y control de la producción,II3425
4906,Planeación y desarrollo regional,II3470
2027,Planeación y desarrollo regional,TS3427
2884,Planeación y desarrollo urbano,TS3428
7693,Planeación y evaluación de proyectos ambientales,IA0411
5997,Planeación y evaluación de proyectos industriales,II3478
5905,Planeación y evaluación de proyectos turísticos y hoteleros,TS0422
5950,Política económica y comercio internacional,NI3480
1486,Política exterior de México,NI3475
128,"Potencial exportador de Quintana Roo, Centro América y el Caribe",NI3425
118,Practicas profesionales II,PN0302
1249,Preparación física avanzada,AD0007
49,Presupuestos aplicados a la industria gastronómica,GA3496
1879,Principios básicos para emprendedores en gastronomía,GA0271
364,Principios de administración,II0105
2444,Principios de automatización y robótica,IT3472
747,Principios de liderazgo,IE0320
244,Probabilidad y estadística,TS0270
214,Probabilidad y estadística,II0319
408,Problemas de México,DP0498
15,Problemas del mundo contemporáneo,DP0497
12214,Procesadores digitales de señales,IT3429
243,Procesamiento de datos en la nube,ID0413
15953,Procesamiento digital de imágenes,IT3480
8882,Procesos Fisicoquímicos,IA0309
6408,Procesos de calidad en la industria gastronómica,GA0427
3867,Procesos fisicoquímicos en ingeniería ambiental,II3481
8761,Procesos sostenibles en la industria gastronómica,GA3495
3166,Procesos y controles aplicados a la logística y cadena de suministro,IL0205
232,Programación de aplicaciones de red,ID3470
2442,Programación de sistemas embebidos,IT3478
2443,Programación lógica funcional,IT0320
1326,Programación orientada a objetos,IT0210
466,Programación web,ID0265
120,Programas de fomento al comercio exterior,NI3470
6847,Promoción y ventas en hoteles,TS3436
7976,Propedéutico de habilidades básicas de lectura,DP0001
32,"Propedéutico de habilidades básicas de lectura, estudio e investigación",DP0001
286,Propedéutico de matematicas para ingenierias,II0002
95,Propedéutico de matemáticas,II0001
3999,Propiedades de los materiales,II0220
738,Prospectiva financiera y económica,IE3422
6437,Protocolo y etiqueta empresarial,IE3477
6167,Proyecto terminal,IT0427
3827,Prácticas Profesionales I,PN0202
18843,Prácticas Profesionales I,PI0202
4956,Prácticas Profesionales I,PID0201
6441,Prácticas Profesionales I,PIE0202
5006,Prácticas Profesionales II,PN0303
235,Prácticas Profesionales preespecialidad: Innovación en TIC,PID0404
3625,Prácticas profesionales I,PI0201
3989,Prácticas profesionales I,PIT0201
17877,Prácticas profesionales I,PG0204
24,Prácticas profesionales I,PIE0201
1550,Prácticas profesionales I,PIA0201
5239,Prácticas profesionales I,PIL0202
2602,Prácticas profesionales I,PIL0201
111,Prácticas profesionales I,PG0101
135,Prácticas profesionales I,PN0201
504,Prácticas profesionales I,PT0201
4571,Prácticas profesionales II,PI0302
2430,Prácticas profesionales II,PIT0302
2526,Prácticas profesionales II,PT0302
36115,Prácticas profesionales II,PID0302
6714,Prácticas profesionales II,PIA0302
2959,Prácticas profesionales II,PG0203
31,Prácticas profesionales II,PIE0302
15793,Prácticas profesionales II,PIL0302
6467,Prácticas profesionales III,PG0301
5944,Prácticas profesionales preespecialidad: Comercio exterior,PN0403
748,Prácticas profesionales preespecialidad: Cultura empresarial,PIE0404
6118,Prácticas profesionales preespecialidad: Dirección estratégica,PIL0404
28514,Prácticas profesionales preespecialidad: Energías renovables y eficiencia energética,PIA0404
5917,Prácticas profesionales preespecialidad: Estrategia empresarial,PIE0403
6222,Prácticas profesionales preespecialidad: Gestión de operaciones,PI0406
6438,Prácticas profesionales preespecialidad: Gestión y negociación,PIE0405
6158,Prácticas profesionales preespecialidad: Hotelería,PT0408
44631,Prácticas profesionales preespecialidad: Inteligencia organizacional y de negocios,PID0403
8072,Prácticas profesionales preespecialidad: Logística en la industria del servicio,PIL0403
15972,Prácticas profesionales preespecialidad: Mejora ambiental,PI0404
6058,Prácticas profesionales preespecialidad: Mercadotecnia internacional,PN0405
5990,Prácticas profesionales preespecialidad: Negocios electrónicos,PN0404
6283,Prácticas profesionales preespecialidad: Planeación y desarrollo turístico,PT0406
6269,Prácticas profesionales preespecialidad: Planeación y finanzas,PI0405
5998,"Prácticas profesionales preespecialidad: Producción, manufactura y mantenimiento",PI0403
7062,Prácticas profesionales preespecialidad: Redes de servicio,PIT0404
7704,Prácticas profesionales preespecialidad: Regeneración ambiental,PIA0403
12217,Prácticas profesionales preespecialidad: Sistemas de telecomunicaciones,PIT0403
5906,Prácticas profesionales preespecialidad: Turismo alternativo y de salud,PT0407
2401,Psicología del emprendimiento,IE3436
15694,Psicología del emprendimiento y andragogía,IE3429
333,Psicología industrial,II0161
4542,Psicología y sociología del turismo,TS3429
145,Publicidad y promoción,GA3476
156,Química ambiental,IA0205
975,Química analítica,IA0204
109,Química culinaria,GA0220
1000,Química general,IA0102
202,Química industrial,II0107
1710,Radio,TA0009
240,Realidad virtual,ID3471
7091,Reconocimiento de voz,IT3473
235,Recreación y conducción de grupos,TS0167
586,Recursos de comunicación para la era digital,ID0161
1977,Recursos energéticos,II0269
207,Recursos humanos,II0160
4710,Recursos humanos en empresas turísticas,TS0420
2413,Redes inalámbricas,IT0321
2414,Redes locales,IT0211
7036,Redes multimedia,IT3436
2411,Redes y protocolos de servicio,IT3433
2910,Relaciones públicas,GA3477
3094,Relación México - América Latina y el Caribe,NI3472
6,Relación México - Estados Unidos - Canadá,NI0264
1519,Relación México - Europa y el Pacífico,NI3476
5118,Repostería avanzada,GA3430
3757,Repostería básica,GA0224
5470,Ritmos Latinos,TA0032
217,Salsa y merengue,TA0019
8878,Saneamiento de suelos,IA3423
215,Seguridad de datos,ID0414
3739,Seguridad e higiene en instalaciones hoteleras y turísticas,TS0108
341,Seguridad e higiene en instalaciones hoteleras y turísticas,TS0272
36,Seguridad e higiene en los alimentos,GA0102
206,Seguridad e higiene industrial,II0264
2432,Seguridad y administración de redes,IT3434
176,Seminario de investigación,DP0499
5985,Seminario de normas y regulaciones para los negocios electrónicos,NI3432
2422,Señales y sistemas,IT0216
3621,Simulación,II0424
138,Sistema de gestión integral aplicado a la industria gastronómica,GA0222
7694,Sistema de tratamiento de agua,IA3421
6089,Sistema financiero internacional,NI3481
362,Sistemas de apoyo para la toma de decisiones,ID3423
6011,Sistemas de aprovechamiento hidráulico,II3432
6119,Sistemas de gestión estratégica,IL3424
224,Sistemas de información geográfica,ID3474
739,Sistemas de inteligencia empresarial,IE3424
1978,Sistemas de manufactura,IL0309
337,Sistemas de planificación de recursos empresariales,ID0263
2446,Sistemas distribuidos de información,IT3435
2682,Sistemas electromecánicos,II3424
18201,Sistemas expertos,IT3476
517,Sistemas operativos POSIX,IT0161
38485,Sistemas operativos distribuidos y de tiempo real,IT0426
7042,Sistemas telemáticos,IT0428
5048,Sustentabilidad y turismo,TS0106
342,TIC para la educación,ID3418
905,TIC para la salud,ID3419
2734,Taekwon Do,AD0004
5229,Talento humano,II0165
9290,Taller de Instrumentación,IA0104
208,Taller de ajedrez,AD0010
106,Taller de alimentos,GA0215
6462,Taller de alta cocina mexicana,GA3434
40,Taller de análisis de casos de la administración de la industria gastronómica,GA0167
6121,Taller de argumentación y técnicas de negociación,IL0414
108,Taller de bases de repostería y pastelería,GA0219
151,Taller de bebidas,GA0216
6403,Taller de bebidas mexicanas fermentadas y destiladas,GA0426
5338,Taller de casos de hotelería,TS0168
6930,Taller de cocina saludable,GA3488
102,Taller de computación,IT0192
440,Taller de conservación de alimentos,GA0265
2387,Taller de contraloría y auditoría,GA3437
133,Taller de emprendedores,NI0267
410,Taller de emprendedores,II0422
6418,Taller de emprendedores,GA0422
18,Taller de emprendedores,IE0207
195,Taller de emprendimiento y creatividad,IE0102
6120,Taller de estrategias de mercado,IL0416
15795,Taller de estrategias para la logística y cadena de suministro,IL3423
6422,Taller de evaluación sensorial,GA3491
6134,Taller de exportación,NI3471
0,Taller de formación en responsabilidad social y ambiental,DP0295
47,Taller de interacción grupal y competencias comunicativas,DP0191
21,Taller de internet para MiPyMES,IE0264
8334,Taller de lengua de señas mexicana,TA0035
15582,Taller de mercadotecnia,IE0315
15695,Taller de negociación,IE3469
46,Taller de redacción profesional,DP0193
98,Taller de servicios aplicados a la industria gastronómica,GA0109
358,Taller de servicios de comedor y menús,GA0210
2593,Taller de sistemas empresariales,IL0206
3748,Taller de software aplicado al turismo,TS0220
274,Taller de software aplicado al turismo,TS0210
401,Taller de software para MiPyMES,IE0214
2698,Taller de software para ingeniería,II3472
1,Taller de software para negocios internacionales,NI0215
6500,Taller de ventas,IE3481
6091,Taller de ética en los negocios,NI3478
309,Teatro,TA0011
239,Tecnología de los alimentos y bebidas: producción y servicio,TS0104
2407,Tecnologías de conmutación de paquetes,IT0212
7090,Telefonía digital y VoIP,IT3481
683,Telemática,IT0162
6423,Temas selectos de nutrición,GA3433
8964,Temas selectos de remediación ambiental,IA3425
321,Tenis,AD0013
986,Tenis de mesa,AD0014
241,Teoría de la información,IT0322
412,Teoría electromagnética,IT0213
335,Teoría general de sistemas,IL0102
3741,Tercer Idioma Nivel 1,LA1101
158,Termodinámica,II0216
272,Tocho bandera,AD0011
164,Toxicología ambiental,IA3416
2412,"Traductores, compiladores e intérpretes",IT0215
162,Transferencia de calor,II0323
7695,Transferencia de masa,IA0308
4,Transporte y logística en comercio exterior,NI0213
7697,Tratamiento de residuos,IA0413
1976,Tratamiento de residuos sólidos,II3431
277,Turismo alternativo,TS0206
5459,"Turismo cultural, etnoturismo y arqueología",TS3431
6337,"Turismo de salud, incluyente y para la tercera edad",TS3433
405,Técnicas algorítmicas,IT0107
1285,Técnicas de hospedaje,TS0213
2025,"Técnicas de relajación, equilibrio y bienestar",TS3477
276,Técnicas de spa,TS0269
125,Tópicos  2,LI0110
14,Tópicos selectos de inglés,LI0109
15573,Tópicos selectos de redes,IT3437
2482,Tópicos selectos de sistemas operativos,IT3477
25244,Tópicos selectos de telecomunicaciones,IT3432
2478,Tópicos selectos en ingeniería de datos,ID3472
6656,Ventas y comercialización,GA3427
661,Ventas y relaciones públicas,TS0271
4809,Visión gerencial,GA3483
870,Visualización de datos,ID3424
2039,Vitivinicultura,GA0320
107,Voleibol,AD0002
153,Yoga,AD0018
204,Álgebra lineal,II0322
